order_id,customer_id,order_ts,status,channel,currency
1,623,2023-08-14,Paid,MOBILE,USD
2,581,2023-10-06,Paid,STORE,EUR
3,907,2023-01-23,Paid,WEB,USD
4,506,2023-12-11,paid,STORE,GBP
5,66,2023-01-27,REFUNDED,WEB,USD
6,384,2023-02-09,CANCELLED,WEB,EUR
7,252,2023-07-26,CANCELLED,MOBILE,GBP
8,885,2024-01-24,Paid,WEB,EUR
9,230,2023-03-21,paid,WEB,GBP
10,700,2023-07-04,Paid,MOBILE,USD
11,254,2023-07-01,Paid,WEB,USD
12,172,2023-02-23,PAID,WEB,EUR
13,131,2023-07-27,paid,WEB,EUR
14,867,2024-01-10,CANCELLED,WEB,EUR
15,688,2023-06-21,REFUNDED,WEB,EUR
16,977,2023-02-18,Paid,MOBILE,EUR
17,550,2023-02-17,paid,MOBILE,EUR
18,61,2024-02-18,paid,MOBILE,GBP
19,678,2023-12-31,CANCELLED,WEB,GBP
20,83,2023-05-30,paid,WEB,GBP
21,214,2023-03-29,paid,WEB,USD
22,20,2023-06-04,paid,MOBILE,USD
23,794,2023-05-30,paid,MOBILE,USD
24,839,2023-08-19,PAID,WEB,EUR
25,16,2024-03-23,CANCELLED,WEB,GBP
26,736,2024-03-12,REFUNDED,STORE,GBP
27,260,2023-05-12,CANCELLED,WEB,EUR
28,234,2023-10-30,paid,MOBILE,EUR
29,442,2023-10-30,Paid,WEB,EUR
30,995,2023-11-29,paid,MOBILE,GBP
31,877,2023-05-09,PAID,MOBILE,GBP
32,736,2023-02-06,Paid,MOBILE,USD
33,529,2023-12-17,CANCELLED,STORE,USD
34,123,2023-11-03,Paid,MOBILE,USD
35,726,2023-11-29,REFUNDED,STORE,GBP
36,858,2024-01-30,CANCELLED,WEB,USD
37,611,2023-08-28,CANCELLED,WEB,USD
38,633,2023-07-24,paid,WEB,EUR
39,313,2023-12-26,CANCELLED,STORE,USD
40,610,2023-07-17,paid,MOBILE,USD
41,282,2023-10-05,CANCELLED,STORE,USD
42,70,2023-07-23,paid,WEB,USD
43,431,2023-01-17,PAID,MOBILE,USD
44,400,2023-03-22,Paid,STORE,USD
45,102,2023-04-06,paid,MOBILE,GBP
46,4,2023-11-11,REFUNDED,STORE,GBP
47,999,2024-02-20,CANCELLED,WEB,EUR
48,866,2023-11-08,paid,STORE,USD
49,101,2023-11-27,paid,STORE,USD
50,107,2024-01-11,PAID,STORE,EUR
51,756,2023-09-14,CANCELLED,STORE,GBP
52,507,2023-04-24,REFUNDED,MOBILE,EUR
53,654,2023-11-02,CANCELLED,STORE,USD
54,222,2023-02-13,REFUNDED,MOBILE,GBP
55,993,2023-02-27,PAID,WEB,EUR
56,870,2023-12-12,Paid,STORE,EUR
57,985,2023-03-22,paid,MOBILE,USD
58,729,2023-06-19,paid,MOBILE,USD
59,258,2023-02-28,Paid,MOBILE,USD
60,841,2024-02-07,Paid,WEB,GBP
61,804,2023-01-15,paid,STORE,GBP
62,725,2023-05-14,PAID,WEB,USD
63,217,2024-03-07,CANCELLED,MOBILE,GBP
64,951,2023-03-12,CANCELLED,WEB,GBP
65,518,2023-10-18,paid,WEB,USD
66,627,2024-03-16,CANCELLED,STORE,USD
67,681,2023-03-28,PAID,WEB,GBP
68,985,2023-03-12,CANCELLED,MOBILE,GBP
69,513,2024-02-07,paid,MOBILE,EUR
70,721,2023-03-28,Paid,STORE,EUR
71,484,2023-06-02,CANCELLED,STORE,EUR
72,957,2023-11-17,CANCELLED,MOBILE,EUR
73,466,2023-04-24,PAID,STORE,USD
74,626,2023-07-18,Paid,MOBILE,USD
75,235,2023-11-29,Paid,STORE,GBP
76,956,2023-01-18,Paid,WEB,USD
77,96,2023-06-29,PAID,STORE,GBP
78,489,2023-07-04,REFUNDED,STORE,GBP
79,227,2023-12-08,PAID,WEB,EUR
80,211,2023-07-18,CANCELLED,MOBILE,USD
81,702,2023-11-21,PAID,MOBILE,EUR
82,216,2023-10-16,Paid,WEB,USD
83,906,2024-03-03,REFUNDED,MOBILE,GBP
84,451,2023-01-07,Paid,WEB,EUR
85,275,2024-01-16,PAID,WEB,EUR
86,531,2023-09-23,PAID,MOBILE,GBP
87,109,2023-12-18,REFUNDED,MOBILE,GBP
88,642,2023-11-14,PAID,MOBILE,USD
89,823,2023-11-06,Paid,MOBILE,USD
90,891,2024-02-07,REFUNDED,WEB,GBP
91,33,2023-12-02,REFUNDED,WEB,GBP
92,529,2023-05-22,Paid,MOBILE,EUR
93,915,2023-01-31,REFUNDED,WEB,GBP
94,480,2023-10-23,CANCELLED,STORE,USD
95,169,2023-11-10,Paid,MOBILE,USD
96,394,2023-01-15,Paid,MOBILE,USD
97,4,2023-01-22,paid,MOBILE,GBP
98,793,2023-04-30,Paid,WEB,USD
99,365,2023-02-11,PAID,WEB,EUR
100,759,2024-01-18,REFUNDED,STORE,GBP
101,590,2024-02-03,CANCELLED,STORE,USD
102,658,2023-02-28,REFUNDED,WEB,GBP
103,23,2023-05-10,CANCELLED,MOBILE,EUR
104,660,2023-02-20,paid,STORE,GBP
105,305,2023-10-15,REFUNDED,WEB,EUR
106,251,2023-01-09,Paid,STORE,GBP
107,230,2023-08-11,CANCELLED,WEB,GBP
108,132,2023-09-27,PAID,STORE,EUR
109,152,2023-10-23,CANCELLED,WEB,GBP
110,579,2023-07-14,CANCELLED,STORE,EUR
111,981,2023-01-04,REFUNDED,MOBILE,EUR
112,629,2023-01-12,paid,STORE,GBP
113,696,2023-09-14,REFUNDED,WEB,GBP
114,887,2023-06-21,Paid,STORE,EUR
115,421,2023-12-12,REFUNDED,STORE,USD
116,535,2023-05-01,CANCELLED,MOBILE,GBP
117,124,2023-01-18,CANCELLED,STORE,GBP
118,928,2023-06-07,Paid,MOBILE,USD
119,977,2023-08-11,Paid,MOBILE,EUR
120,991,2023-09-28,REFUNDED,WEB,EUR
121,283,2023-07-10,CANCELLED,STORE,EUR
122,399,2023-10-23,PAID,WEB,EUR
123,581,2023-01-07,CANCELLED,MOBILE,GBP
124,821,2023-10-01,CANCELLED,MOBILE,USD
125,127,2023-05-29,Paid,MOBILE,USD
126,793,2023-04-22,PAID,MOBILE,EUR
127,682,2023-01-31,CANCELLED,STORE,USD
128,504,2024-03-07,CANCELLED,STORE,GBP
129,774,2023-08-12,Paid,WEB,EUR
130,884,2023-09-03,paid,WEB,USD
