order_id,product_id,qty,unit_price,discount
9360,142,1,491.2,8.58
8307,600,2,529.55,19.85
8358,414,4,1492.2,36.5
9463,375,4,2243.41,18.27
3576,666,1,817.48,3.62
665,305,2,1678.2,35.11
7167,721,3,139.72,25.61
3624,297,4,1955.66,44.67
9966,177,2,469.83,25.81
4295,694,3,367.04,47.01
4003,688,1,2452.59,26.56
6271,336,1,941.72,10.62
353,409,1,1351.02,20.93
7690,636,4,783.18,41.98
7354,434,4,2211.26,43.52
5513,978,2,78.15,22.15
9700,278,2,2189.47,34.77
2589,854,3,1469.35,24.33
3725,913,2,514.6,31.48
4241,252,2,1951.02,41.87
1918,470,2,361.51,41.35
6879,254,2,897.14,29.32
6998,10,4,1964.17,26.13
8072,938,4,2352.2,45.22
5418,822,1,2468.58,10.22
8310,799,4,2373.84,46.09
442,514,2,2385.44,1.67
8803,898,2,816.51,25.02
8966,242,4,1950.7,11.8
4016,762,3,2315.87,46.25
7388,151,4,105.7,28.0
796,647,3,2188.29,21.56
7464,991,3,2133.85,2.52
3910,735,3,165.31,39.46
8404,588,1,682.2,10.77
8050,951,2,110.1,26.47
7312,974,2,1647.1,36.67
3911,555,2,7.12,2.0
7614,797,2,202.05,37.16
6133,743,1,88.33,22.99
1855,478,2,1368.64,38.9
899,536,3,431.5,0.83
4700,675,4,2139.93,40.81
3533,110,2,262.49,3.71
5334,409,4,74.86,8.12
4905,883,1,602.71,38.03
3884,3,2,1997.04,32.35
1883,187,4,1432.58,18.24
9287,137,3,1204.49,34.0
5454,28,1,1421.66,12.61
202,510,4,1698.85,6.75
9014,431,3,1123.79,9.22
8776,308,2,831.32,11.85
1292,506,1,363.78,17.56
5833,707,3,125.08,19.88
4631,927,4,375.22,45.21
9788,251,4,1330.4,35.5
7839,240,3,2122.61,37.6
4401,183,4,,29.45
4726,620,3,2453.54,27.14
3673,886,4,1614.69,25.28
1328,945,3,328.99,39.78
6885,61,3,499.58,1.64
5923,441,4,518.78,49.27
240,476,4,88.42,12.38
800,36,2,327.46,4.99
13,282,1,789.6,19.86
6366,457,1,1186.61,16.7
281,263,2,798.84,14.65
5942,690,3,1043.33,33.01
1122,59,2,1377.71,32.71
2042,449,4,813.97,31.41
7368,410,4,1276.41,22.3
290,676,1,1324.17,1.04
4158,787,4,1702.17,33.84
9280,92,3,2010.01,28.36
4953,433,4,2423.38,11.46
5490,37,4,411.44,48.04
7306,839,3,2091.12,14.91
6191,571,4,65.67,18.84
5885,544,1,999.51,46.42
9487,813,3,1683.41,47.06
1718,940,4,219.78,15.16
939,500,1,2334.23,3.82
9764,419,2,823.88,21.1
4051,731,3,304.9,37.38
9985,23,2,1350.7,39.33
327,3,2,2164.12,35.29
5382,858,2,1234.25,28.71
4083,326,1,758.07,44.32
6365,829,4,1323.69,41.08
9907,764,1,661.2,1.67
7356,235,2,1695.34,28.07
9833,273,2,2006.04,24.23
3184,803,1,1376.05,49.78
6475,764,1,2499.12,43.12
6736,460,3,822.38,2.03
6720,569,1,1389.26,29.92
3707,318,4,2011.2,30.41
8824,482,2,340.58,9.68
8378,914,4,2486.68,6.77
7038,854,1,823.47,36.16
3738,736,1,1134.73,24.53
6058,504,1,1064.41,15.52
